BIOME_NAME,District,Is Monitor,Name,State,Year Spp,calculated,nci
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,30527,ANDHRA_PRADESH,"2020_coffee,2020_silveroak",0.3282219412,243.0931702
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31117,ANDHRA_PRADESH,"2020_silveroak,2020_teak",0.2920037688,112.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31777,ANDHRA_PRADESH,"2020_coffee,2020_silveroak",0.1135888954,188.0931702
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,33955,ANDHRA_PRADESH,2022_teak,0.3313240213,258.7632446
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,33957,ANDHRA_PRADESH,2023_Silver Oak,0.2174787662,244.0966034
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5815,ANDHRA_PRADESH,2022_Sapota,0.898246705,290.1391296
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5875,ANDHRA_PRADESH,2020_Eucalyptus,0.2760642859,161.4591217
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,34038,ANDHRA_PRADESH,2023_Silver Oak,0.1004047781,282.8057861
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31848,ANDHRA_PRADESH,"2020_teak,2020_silveroak",0.07309826989,123.0965958
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31310,ANDHRA_PRADESH,"2022_coffee,2022_silveroak",0.1211149406,213.7598267
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31705,ANDHRA_PRADESH,"2020_silveroak,2020_jackfruit",0.1837537864,104.7632523
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31378,ANDHRA_PRADESH,2022_custardapple,0.4702778739,409.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,30991,ANDHRA_PRADESH,"2020_silveroak,2020_teak",0.4640847476,192.7632599
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4673,ANDHRA_PRADESH,2020_Eucalyptus,1.516409365,174.4299316
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5188,ANDHRA_PRADESH,2020_Mango,0.1949846262,258.8865967
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5225,ANDHRA_PRADESH,2021_Eucalyptus,0.4773289651,251.5532532
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5270,ANDHRA_PRADESH,2021_Mango,0.2520412246,152.4299316
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5308,ANDHRA_PRADESH,"2020_SilverOak,2020_Jamun",0.06075417094,141.4299164
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5313,ANDHRA_PRADESH,2020_Mango,0.8535169026,121.4724503
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5318,ANDHRA_PRADESH,2020_Mango,0.6335317676,110.4724426
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6075,ANDHRA_PRADESH,2020_Mango,0.1965999129,409.1481934
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6082,ANDHRA_PRADESH,2020_Jamun,0.3785779408,198.4724426
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6470,ANDHRA_PRADESH,"2021_Mango,2021_SilverOak",0.7204802587,394.4299011
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6606,ANDHRA_PRADESH,2020_CustardApple,0.7323863749,198.4724426
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6613,ANDHRA_PRADESH,2020_JackFruit,0.6230453145,143.4724579
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5588,ANDHRA_PRADESH,2020_Jamun,0.1662321345,328.4299316
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4674,ANDHRA_PRADESH,2020_Eucalyptus,1.803720699,174.4299316
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3448,ANDHRA_PRADESH,"2022_SilverOak,2022_Mango",0.5733134238,161.8058014
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3106,ANDHRA_PRADESH,2021_Eucalyptus,0.4251703693,192.5650635
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31240,ANDHRA_PRADESH,2022_lemon,0.0754462258,432.9172974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31241,ANDHRA_PRADESH,2022_lemon,0.1235347897,429.2506409
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31716,ANDHRA_PRADESH,"2020_silveroak,2020_mango",0.1171026455,313.7632751
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,32030,ANDHRA_PRADESH,2020_teak,0.5492743198,405.4815369
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,32210,ANDHRA_PRADESH,2021_lemon,0.1901635501,423.8148804
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,32214,ANDHRA_PRADESH,2020_lemon,0.1972655546,442.1481934
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5695,ANDHRA_PRADESH,2021_Teak,0.2185821133,427.4299011
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5524,ANDHRA_PRADESH,"2020_Coffee,2020_Cashew",0.07890512265,124.1129913
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,33342,ANDHRA_PRADESH,"2020_coffee,2020_silveroak",0.2693803312,432.79245
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3500,ANDHRA_PRADESH,2022_Guava,0.1255852929,458.2509155
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,4722,ANDHRA_PRADESH,2021_CASHEW,0.3918905465,120.446312
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1835,ANDHRA_PRADESH,2021_Coffee,0.06517024704,423.7632446
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1917,ANDHRA_PRADESH,"2020_SilverOak,2020_Guava",0.4984297938,401.7632751
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1965,ANDHRA_PRADESH,"2020_Mango,2020_SilverOak",0.3510834211,431.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2225,ANDHRA_PRADESH,2021_Coffee,0.05804369672,434.7632446
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2240,ANDHRA_PRADESH,2021_Coffee,0.03341052355,456.7632751
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2423,ANDHRA_PRADESH,2020_Coffee,0.8407534074,435.175354
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2495,ANDHRA_PRADESH,"2021_SilverOak,2021_Jamun",0.3471138486,431.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2569,ANDHRA_PRADESH,2022_Coffee,0.1669895064,409.5086975
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2586,ANDHRA_PRADESH,2020_JackFruit,0.2074116041,442.5086975
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2747,ANDHRA_PRADESH,2021_Coffee,0.05366295136,409.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2963,ANDHRA_PRADESH,2020_Coffee,0.6839147938,442.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1837,ANDHRA_PRADESH,2021_Coffee,0.04673756199,423.7632446
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2702,ANDHRA_PRADESH,2020_Coffee,0.08955691445,409.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2359,ANDHRA_PRADESH,2022_Coffee,0.02432504922,405.4299316
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2637,ANDHRA_PRADESH,2022_Coffee,0.06542156908,398.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4013,ANDHRA_PRADESH,2020_Eucalyptus,0.8679902608,412.7632446
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2212,ANDHRA_PRADESH,2020_Coffee,0.128659126,431.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1952,ANDHRA_PRADESH,"2020_Coffee,2020_SilverOak",0.1034102345,420.0965881
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2354,ANDHRA_PRADESH,"2021_Coffee,2021_SilverOak",0.07124637875,405.4299316
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31070,ANDHRA_PRADESH,"2020_mango,2020_teak",0.3129874187,249.5839844
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31071,ANDHRA_PRADESH,"2021_cashew,2021_mango",0.6209688757,322.9172974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31539,ANDHRA_PRADESH,"2021_cashew,2021_mango",0.3596264905,136.2922974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31915,ANDHRA_PRADESH,"2020_cashew,2020_teak",0.4907918366,154.6256409
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,32161,ANDHRA_PRADESH,"2020_cashew,2020_coconut",0.2469127957,183.9589844
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,33345,ANDHRA_PRADESH,"2020_mango,2020_cashew",0.1567989602,183.9589691
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,33140,ANDHRA_PRADESH,"2020_cashew,2020_coconut",0.32291073,187.6256409
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31911,ANDHRA_PRADESH,"2020_mango,2020_cashew",0.2763648273,95.95896149
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,30932,ANDHRA_PRADESH,"2020_cashew,2020_coconut",0.487533062,359.5839844
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,30608,ANDHRA_PRADESH,"2021_cashew,2021_mango",0.374281293,231.2506409
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,31072,ANDHRA_PRADESH,"2021_cashew,2021_mango",0.6823004307,322.9172974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,33506,ANDHRA_PRADESH,"2022_cashew,2022_mango",0.2697835022,169.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1666,ANDHRA_PRADESH,"2020_Cashew,2020_Mango",0.5086478853,158.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1867,ANDHRA_PRADESH,"2020_Cashew,2020_SilverOak",0.2879155741,249.9589691
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1927,ANDHRA_PRADESH,"2020_Cashew,2020_Mango",0.3174312336,118.667244
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5986,ANDHRA_PRADESH,2021_Sandalwood,0.3645812729,169.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,6341,ANDHRA_PRADESH,"2022_Jamun,2022_Sapota",0.2783324835,559.1773071
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4890,ANDHRA_PRADESH,"2020_Cashew,2020_Mango",0.3721566176,163.8419952
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4037,ANDHRA_PRADESH,2020_Eucalyptus,0.9263267008,44.77459717
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,53780,ANDHRA_PRADESH,2020_CASHEW,0.226890216,58.95814133
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,3956,ANDHRA_PRADESH,2020_CASHEW,0.2171412121,164.4463196
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,6322,ANDHRA_PRADESH,2020_CASHEW,0.260649257,183.9589691
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,31202,ANDHRA_PRADESH,2020_CASHEW,0.3412284223,223.9172974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,5693,ANDHRA_PRADESH,2020_CASHEW,1.514763078,292.7796631
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,6393,ANDHRA_PRADESH,2020_CASHEW,0.5627668106,87.44632721
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,Yes,31142,ANDHRA_PRADESH,2020_CASHEW,0.9930059898,212.1129761
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3179,ANDHRA_PRADESH,2020_Cashew,0.2321805495,299.5645752
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3309,ANDHRA_PRADESH,2020_Cashew,0.2790253083,176.7745819
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,3366,ANDHRA_PRADESH,2020_Cashew,0.4109392776,213.4412537
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5820,ANDHRA_PRADESH,2020_Cashew,0.1737596524,120.2781677
